1682525635.013744 client started (2564): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1682525635.013823 on Darwin 22.4.0 Darwin Kernel Version 22.4.0: Mon Mar  6 20:59:28 PST 2023; root:xnu-8796.101.5~3/RELEASE_ARM64_T6000
1682525635.014274 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1682525635.014311 flags are 0x18010000
1682525635.014322 socket is /private/tmp/tmux-501/default
1682525635.014341 trying connect
1682525635.014370 connect failed: Connection refused
1682525635.014396 lock file is /private/tmp/tmux-501/default.lock
1682525635.014508 flock succeeded
1682525635.014518 got lock (8)
1682525635.014528 trying connect
1682525635.014538 connect failed: Connection refused
1682525635.015045 add peer 0x130008000: 9 (0x0)
1682525635.020688 sending message 100 to peer 0x130008000 (4 bytes)
1682525635.020721 sending message 111 to peer 0x130008000 (8 bytes)
1682525635.020739 sending message 101 to peer 0x130008000 (10 bytes)
1682525635.020755 sending message 109 to peer 0x130008000 (4 bytes)
1682525635.020770 sending message 102 to peer 0x130008000 (13 bytes)
1682525635.020785 sending message 108 to peer 0x130008000 (50 bytes)
1682525635.020797 sending message 112 to peer 0x130008000 (58 bytes)
1682525635.020810 sending message 112 to peer 0x130008000 (5 bytes)
1682525635.020824 sending message 112 to peer 0x130008000 (5 bytes)
1682525635.020840 sending message 112 to peer 0x130008000 (6 bytes)
1682525635.020852 sending message 112 to peer 0x130008000 (6 bytes)
1682525635.020865 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.020881 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.020893 sending message 112 to peer 0x130008000 (14 bytes)
1682525635.020907 sending message 112 to peer 0x130008000 (19 bytes)
1682525635.020920 sending message 112 to peer 0x130008000 (11 bytes)
1682525635.020938 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.020953 sending message 112 to peer 0x130008000 (15 bytes)
1682525635.020968 sending message 112 to peer 0x130008000 (21 bytes)
1682525635.020985 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.021003 sending message 112 to peer 0x130008000 (7 bytes)
1682525635.021023 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.021039 sending message 112 to peer 0x130008000 (7 bytes)
1682525635.021055 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.021073 sending message 112 to peer 0x130008000 (9 bytes)
